model,description,Family,GHz,cores,L3 Cache,Watt,UPI,DDR4,Max Memory (TB),Column1
3204,3204 Bronze  1.9GHz 6Cores,Bronze ,1.9,6,8.25,85W,2 @ 9.6 GT/s,2133MT/s,1,3204
3206R,3206R Bronze  1.9GHz 8Cores,Bronze ,1.9,8,11,85W,2 @ 9.6 GT/s,2133MT/s,1,3206
4208,4208 Silver  2.1GHz 8Cores,Silver ,2.1,8,11,85W,2 @ 9.6 GT/s,2400 MT/s,1,4208
4210R,4210R Silver  2.4GHz 10Cores,Silver ,2.4,10,13.75,100W,2 @ 9.6 GT/s,2400 MT/s,1,4210
4210,4210 Silver  2.2GHz 10Cores,Silver ,2.2,10,13.75,85W,2 @ 9.6 GT/s,2400 MT/s,1,4210
4214R,4214R Silver  2.4GHz 12Cores,Silver ,2.4,12,16.5,100W,2 @ 9.6 GT/s,2400 MT/s,1,4214
4214,4214 Silver  2.2GHz 12Cores,Silver ,2.2,12,16.5,85W,2 @ 9.6 GT/s,2400 MT/s,1,4214
4215R,4215R Silver  3.2GHz 8Cores,Silver ,3.2,8,11,130W,2 @ 9.6 GT/s,2400 MT/s,1,4215
4215,4215 Silver  2.5GHz 8Cores,Silver ,2.5,8,11,85W,2 @ 9.6 GT/s,2400 MT/s,1,4215
4216,4216 Silver  2.1GHz 16Cores,Silver ,2.1,16,22,100W,2 @ 9.6 GT/s,2400 MT/s,1,4216
5215M,5215M Gold  2.5GHz 10Cores,Gold ,2.5,10,13.75,85W,2 @ 10.4 GT/s,2666MT/s,2,5215
5215L,5215L Gold  2.5GHz 10Cores,Gold ,2.5,10,13.75,85W,2 @ 10.4 GT/s,2666MT/s,4.5,5215
5215,5215 Gold  2.5GHz 10Cores,Gold ,2.5,10,13.75,85W,2 @ 10.4 GT/s,2666MT/s,1,5215
5217,5217 Gold  3GHz 8Cores,Gold ,3,8,11,115W,2 @ 10.4 GT/s,2666MT/s,1,5217
5218R,5218R Gold  2.1GHz 20Cores,Gold ,2.1,20,27.5,125W,2 @ 10.4 GT/s,2666MT/s,1,5218
5218N,5218N Gold  2.3GHz 16Cores,Gold ,2.3,16,22,110W,2 @ 10.4 GT/s,2666MT/s,1,5218
5218B,5218B Gold  2.3GHz 16Cores,Gold ,2.3,16,22,125W,2 @ 10.4 GT/s,2666MT/s,1,5218
5218,5218 Gold  2.3GHz 16Cores,Gold ,2.3,16,22,125W,2 @ 10.4 GT/s,2666MT/s,1,5218
5220S,5220S Gold  2.7GHz 18Cores,Gold ,2.7,18,24.75,125W,2 @ 10.4 GT/s,2666MT/s,1,5220
5220R,5220R Gold  2.2GHz 24Cores,Gold ,2.2,24,35.75,150W,2 @ 10.4 GT/s,2666MT/s,1,5220
5220,5220 Gold  2.2GHz 18Cores,Gold ,2.2,18,24.75,125W,2 @ 10.4 GT/s,2666MT/s,1,5220
5222,5222 Gold  3.8GHz 4Cores,Gold ,3.8,4,16.5,105W,2 @ 10.4 GT/s,2933MT/s,1,5222
6208U,6208U Gold  2.9GHz 16Cores,Gold ,2.9,16,22,150W,0,2933MT/s,1,6208
6209U,6209U Gold  2.1GHz 20Cores,Gold ,2.1,20,27.5,125W,0,2933MT/s,1,6209
6210U,6210U Gold  2.5GHz 20Cores,Gold ,2.5,20,27.5,150W,0,2933MT/s,1,6210
6212U,6212U Gold  2.4GHz 24Cores,Gold ,2.4,24,35.75,165W,0,2933MT/s,1,6212
6222V,6222V Gold  1.8GHz 20Cores,Gold ,1.8,20,27.5,115W,3 @ 10.4 GT/s,2933MT/s,1,6222
6226R,6226R Gold  2.9GHz 16Cores,Gold ,2.9,16,22,150W,3 @ 10.4 GT/s,2933MT/s,1,6226
6226,6226 Gold  2.7GHz 12Cores,Gold ,2.7,12,19.25,125W,3 @ 10.4 GT/s,2933MT/s,1,6226
6230R,6230R Gold  2.1GHz 26Cores,Gold ,2.1,26,35.75,150W,3 @ 10.4 GT/s,2933MT/s,1,6230
6230N,6230N Gold  2.3GHz 20Cores,Gold ,2.3,20,27.5,125W,3 @ 10.4 GT/s,2933MT/s,1,6230
6230,6230 Gold  2.1GHz 20Cores,Gold ,2.1,20,27.5,125W,3 @ 10.4 GT/s,2933MT/s,1,6230
6234,6234 Gold  3.3GHz 8Cores,Gold ,3.3,8,24.75,130W,3 @ 10.4 GT/s,2933MT/s,1,6234
